Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system: Equatorial
name|t90|t90_error|t90_start|fluence|fluence_error|flnc_band_ampl|flnc_band_ampl_pos_err|flnc_band_ampl_neg_err|flnc_band_epeak|flnc_band_epeak_pos_err|flnc_band_epeak_neg_err|flnc_band_alpha|flnc_band_alpha_pos_err|flnc_band_alpha_neg_err|flnc_band_beta|flnc_band_beta_pos_err|flnc_band_beta_neg_err|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_pivot|pflx_comp_pivot_pos_err|pflx_comp_pivot_neg_err|pflx_band_epeak|pflx_band_epeak_pos_err|pflx_band_epeak_neg_err|pflx_band_alpha|pflx_band_alpha_pos_err|pflx_band_alpha_neg_err|pflx_band_beta|pflx_band_beta_pos_err|pflx_band_beta_neg_err|flnc_comp_epeak|flnc_comp_epeak_pos_err|flnc_comp_epeak_neg_err|flnc_comp_index|flnc_comp_index_pos_err|flnc_comp_index_neg_err|flnc_comp_pivot|flnc_comp_pivot_pos_err|flnc_comp_pivot_neg_err
GRB120304061|9.984|1.055|-0.256|5.0461e-06|1.9898e-08|3.847041e-02|1.566177e-02|1.566177e-02|2.443589e+01|2.834001e+00|2.834001e+00|-1.314556e+00|2.403090e-01|2.403090e-01|-2.262408e+00|5.204725e-02|5.204725e-02|3.329224e+01|4.817392e+00|4.817392e+00|-1.735415e+00|8.021858e-02|8.021858e-02|1.000000e+02|0.000000e+00|0.000000e+00|2.542958e+01|4.702311e+00|4.702311e+00|-8.704163e-01|2.390216e-01|2.390216e-01|-2.347058e+00|7.292795e-02|7.292795e-02|2.475889e+01|7.861505e+00|7.861505e+00|-1.897321e+00|4.721739e-02|4.721739e-02|1.000000e+02|0.000000e+00|0.000000e+00
GRB170205521|5.376|1.286|-0.128|1.5164e-06|5.1269e-08|4.580741e-01|4.242726e-01|4.242726e-01|2.092696e+01|4.080113e+00|4.080113e+00|-3.900680e-01|1.393894e+00|1.393894e+00|-2.189037e+00|8.732081e-02|8.732081e-02|3.353577e+01|6.390514e+00|6.390514e+00|-1.680083e+00|1.279516e-01|1.279516e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.023965e+01|3.359432e+00|3.359432e+00|9.853007e-01|1.064768e+00|1.064768e+00|-2.304814e+00|6.994533e-02|6.994533e-02|3.318329e+01|2.768557e+01|2.768557e+01|-1.875912e+00|1.182981e-01|1.182981e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB141122875|30.720|7.245|-3.584|4.0273e-06|1.6895e-07|1.476712e-01|1.004880e-01|1.004880e-01|3.093943e+01|1.309008e+00|1.309008e+00|-1.756101e-01|2.127177e-01|2.127177e-01|-2.757501e+00|1.218388e-01|1.218388e-01|3.375309e+01|2.185841e+00|2.185841e+00|3.674256e-01|5.421910e-01|5.421910e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.408303e+01|2.627169e+00|2.627169e+00|1.925328e-01|3.697681e-01|3.697681e-01|-5.670709e+00|8.989037e+00|8.989037e+00|3.525489e+01|1.211102e+00|1.211102e+00|-8.160986e-01|1.333599e-01|1.333599e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB120913846|33.792|1.379|-1.536|1.5647e-06|2.5601e-08|1.729714e-02|1.385336e-02|1.385336e-02|3.444242e+01|1.409071e+01|1.409071e+01|-1.105611e+00|5.118368e-01|5.118368e-01|-2.199839e+00|1.637022e-01|1.637022e-01|3.632849e+01|4.092240e+01|4.092240e+01|-1.861814e+00|3.379222e-01|3.379222e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.223203e+01|1.274307e+01|1.274307e+01|-2.501440e-01|1.026170e+00|1.026170e+00|-2.245292e+00|2.480144e-01|2.480144e-01|6.431491e+01|1.728191e+01|1.728191e+01|-1.707562e+00|1.962011e-01|1.962011e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB101224578|44.737|0.889|-0.128|3.8918e-06|2.2306e-08|1.005515e-02|1.800034e-03|1.800034e-03|5.303191e+01|3.440723e+00|3.440723e+00|-1.258700e+00|9.492159e-02|9.492159e-02|-2.867180e+00|7.042983e-01|7.042983e-01|3.737441e+01|3.786068e+00|3.786068e+00|-9.940185e-01|3.084548e-01|3.084548e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.712632e+01|4.334229e+00|4.334229e+00|-1.004537e+00|3.048150e-01|3.048150e-01|-3.868378e+00|8.392935e+03|8.392935e+03|5.509883e+01|2.877506e+00|2.877506e+00|-1.298018e+00|8.299244e-02|8.299244e-02|1.000000e+02|0.000000e+00|0.000000e+00
GRB101101744|3.328|2.862|-2.304|6.5004e-07|2.2784e-08|2.145959e+00|1.094620e+00|1.094620e+00|3.155525e+01|1.399139e+00|1.399139e+00|5.562558e-01|3.028795e-01|3.028795e-01|-3.358390e+00|3.024495e-01|3.024495e-01|3.750787e+01|1.944984e+00|1.944984e+00|-2.115761e-01|2.856879e-01|2.856879e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.520124e+01|2.770641e+00|2.770641e+00|1.400069e-01|4.934550e-01|4.934550e-01|-3.422906e+00|1.117692e+00|1.117692e+00|3.399675e+01|1.033222e+00|1.033222e+00|9.680019e-02|2.794429e-01|2.794429e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB140627401|7.424|2.611|-3.584|9.0019e-07|5.9810e-08|2.040671e-02|1.363949e-02|1.363949e-02|3.651347e+01|1.043777e+01|1.043777e+01|-1.015674e+00|2.519432e-01|2.519432e-01|-3.614444e+00|1.472489e+03|1.472489e+03|3.758704e+01|7.476671e+00|7.476671e+00|-1.139655e+00|5.020989e-01|5.020989e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.201814e+01|1.187890e+01|1.187890e+01|-6.837097e-01|6.397605e-01|6.397605e-01|-2.626244e+00|8.348107e-01|8.348107e-01|3.675381e+01|2.914047e+00|2.914047e+00|-9.976006e-01|2.452666e-01|2.452666e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB110706977|33.217|4.007|-14.720|6.5541e-06|4.4729e-08|5.893407e-02|3.535418e-02|3.535418e-02|3.027352e+01|4.448145e+00|4.448145e+00|-9.457725e-01|3.669247e-01|3.669247e-01|-1.995851e+00|4.047358e-02|4.047358e-02|3.860629e+01|5.061478e+00|5.061478e+00|-1.500830e+00|1.780096e-01|1.780096e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.748166e+01|4.060389e+00|4.060389e+00|-4.094641e-01|3.972599e-01|3.972599e-01|-2.404754e+00|1.327314e-01|1.327314e-01|1.094570e+02|1.810121e+01|1.810121e+01|-1.749608e+00|5.494344e-02|5.494344e-02|1.000000e+02|0.000000e+00|0.000000e+00
GRB100923844|51.713|5.838|-0.768|3.9168e-06|5.1198e-08|2.586405e-02|7.582318e-03|7.582318e-03|4.778211e+01|3.808395e+00|3.808395e+00|-8.498102e-01|1.566343e-01|1.566343e-01|-2.453005e+00|1.890032e-01|1.890032e-01|3.893813e+01|2.630009e+00|2.630009e+00|-5.125660e-01|2.927277e-01|2.927277e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.754545e+01|2.643353e+00|2.643353e+00|-4.338283e-01|3.099352e-01|3.099352e-01|-3.057903e+00|8.929522e-01|8.929522e-01|5.526157e+01|3.552319e+00|3.552319e+00|-1.050881e+00|1.219209e-01|1.219209e-01|1.000000e+02|0.000000e+00|0.000000e+00
GRB080805496|29.440|3.566|-1.792|1.7520e-06|4.7789e-08|2.912560e-03|8.822772e-04|8.822772e-04|3.267776e+01|1.315379e+01|1.315379e+01|-1.794164e+00|1.459390e-01|1.459390e-01|-1.438081e+01|4.804686e+07|4.804686e+07|3.965790e+01|9.547932e+00|9.547932e+00|-1.323542e+00|4.000931e-01|4.000931e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.955973e+01|9.458111e+00|9.458111e+00|-1.321362e+00|3.627752e-01|3.627752e-01|-1.184876e+01|4.099118e+05|4.099118e+05|3.245509e+01|1.276767e+01|1.276767e+01|-1.780089e+00|1.474900e-01|1.474900e-01|1.000000e+02|0.000000e+00|0.000000e+00
