Resultsfromheasarc_fermigbrst:FermiGBMBurstCatalog
Coordinatesystem:Equatorial
|name|t90|t90_error|fluence|fluence_error|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_pivot|pflx_comp_pivot_pos_err|pflx_comp_pivot_neg_err|pflx_comp_ergflux|pflx_comp_ergflux_error|
|GRB100923844|51.713|5.838|3.9168e-06|5.1198e-08|3.893813e+01|2.630009e+00|2.630009e+00|-5.125660e-01|2.927277e-01|2.927277e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.814977e-07|1.759651e-08|
|GRB130730243|27.904|1.999|2.1151e-06|3.5189e-08|4.921246e+01|5.047756e+00|5.047756e+00|-7.282605e-01|3.734573e-01|3.734573e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.952004e-07|1.774597e-08|
|GRB080806584|2.304|0.453|4.3135e-07|2.4964e-08|7.462859e+01|7.769035e+00|7.769035e+00|7.581835e-01|6.053791e-01|6.053791e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.628400e-07|1.787418e-08|
|GRB171025213|6.400|3.482|3.1286e-07|2.6294e-08|5.359320e+01|1.201367e+02|1.201367e+02|-2.003000e+00|1.049670e-15|1.049670e-15|1.000000e+02|0.000000e+00|0.000000e+00|7.872888e-08|1.795310e-08|
|GRB080805496|29.440|3.566|1.7520e-06|4.7789e-08|3.965790e+01|9.547932e+00|9.547932e+00|-1.323542e+00|4.000931e-01|4.000931e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.483226e-07|1.803650e-08|
|GRB090422150|9.216|0.362|4.5870e-07|3.4354e-08|7.233659e+01|7.655533e+00|7.655533e+00|7.374140e-01|8.017935e-01|8.017935e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.366029e-07|1.823510e-08|
|GRB080818945|13.376|0.410|1.7392e-06|2.4448e-08|5.597798e+01|5.283154e+00|5.283154e+00|-4.098768e-01|3.495696e-01|3.495696e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.038133e-07|1.835440e-08|
|GRB161228388|72.704|4.672|3.6017e-06|5.9076e-08|6.172100e+01|9.332340e+00|9.332340e+00|-4.508022e-01|5.809481e-01|5.809481e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.308782e-07|1.846910e-08|
|GRB130925164|6.400|2.429|6.3406e-07|2.7480e-08|1.400087e+01|2.015823e+01|2.015823e+01|-1.794868e+00|4.750904e-01|4.750904e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.230155e-07|1.852382e-08|
|GRB110302043|38.336|2.509|3.7301e-06|6.0450e-08|5.166086e+01|4.281319e+00|4.281319e+00|-5.736297e-01|2.967179e-01|2.967179e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.876231e-07|1.855541e-08|
|GRB171212434|32.001|1.379|5.0312e-06|6.7805e-08|5.776597e+01|4.636620e+00|4.636620e+00|-4.799699e-01|2.963247e-01|2.963247e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.581898e-07|1.859573e-08|
|GRB100207721|17.728|6.492|4.3410e-07|2.2742e-08|7.419326e+01|1.119280e+01|1.119280e+01|1.247081e+00|1.491934e+00|1.491934e+00|1.000000e+02|0.000000e+00|0.000000e+00|8.930029e-08|1.861292e-08|
